model,quantization,qid,qtype,run,item1,item2,item3,item4,item5,total,max,normalized_100,elapsed_s,out_tok,gen_tok_per_s,vram_mib,processor,score_evidence
gemma4:e4b-it-q8_0,Q8_0,Q2,normal,1,2,2,2,2,,8,8,100.0,2.136,119,57.73,5011,100% GPU,"30% 구간·890,000원·2인 1,780,000원·534,000원까지 계산 완결. '상품 개요' 항목명 명시"
gemma4:e4b-it-q8_0,Q8_0,Q2,normal,2,2,2,2,2,,8,8,100.0,2.074,116,57.88,5011,100% GPU,동일. '취소 수수료 규정'·'상품 개요' 두 항목명 인용
gemma4:e4b-it-q8_0,Q8_0,Q3,normal,1,2,1,2,2,,7,8,87.5,1.449,80,58.18,5011,100% GPU,"소아 구간·80%·890,000원 정확. 712,000원 미계산(항목2)"
gemma4:e4b-it-q8_0,Q8_0,Q3,normal,2,2,2,2,2,,8,8,100.0,1.647,92,58.27,5011,100% GPU,"소아 80%·712,000원까지 계산 완결, '상품 개요' 항목명 명시"
gemma4:e4b-it-q8_0,Q8_0,Q4,normal,1,2,1,1,2,,6,8,75.0,1.076,58,57.9,5011,100% GPU,6개월 조건·미달 판단 정확. 여권 갱신 안내 누락(항목2). 항목명 미제시(항목3)
gemma4:e4b-it-q8_0,Q8_0,Q4,normal,2,2,1,1,2,,6,8,75.0,1.103,60,58.23,5011,100% GPU,동일
gemma4:e4b-it-q8_0,Q8_0,Q5,normal,1,2,2,2,2,,8,8,100.0,1.111,61,58.62,5011,100% GPU,"2인 1실 기준과 220,000원 모두 제시, '요금 기준' 항목명 명시"
gemma4:e4b-it-q8_0,Q8_0,Q5,normal,2,2,2,2,2,,8,8,100.0,1.061,58,58.42,5011,100% GPU,동일
gemma4:e4b-it-q8_0,Q8_0,Q6,normal,1,2,1,2,2,,7,8,87.5,0.705,37,58.47,5011,100% GPU,"석식 불포함 명확, '4. 불포함 사항' 항목명 명시. 조식 3회 포함 안내 누락(항목2)"
gemma4:e4b-it-q8_0,Q8_0,Q6,normal,2,2,1,2,2,,7,8,87.5,0.678,36,58.86,5011,100% GPU,동일. '[4. 불포함 사항]' 대괄호 표기이나 그대로 발송 가능한 수준이라 항목4 감점 없음
gemma4:e4b-it-q8_0,Q8_0,Q7,boundary,1,2,1,1,2,,6,8,75.0,0.982,53,58.23,5011,100% GPU,면제·증빙 정확. 개인 사정 미탑승은 적용 대상이 아니라는 구분 누락(항목2). 항목명 미제시(항목3)
gemma4:e4b-it-q8_0,Q8_0,Q7,boundary,2,2,1,1,2,,6,8,75.0,0.975,53,58.71,5011,100% GPU,동일
gemma4:e4b-it-q8_0,Q8_0,Q8,boundary,1,1,1,2,2,,6,8,75.0,1.42,78,58.01,5011,100% GPU,'출발일 기준 19일 전부터의 변경은 취소 후 재예약'은 문서 6절에 실재하나 6절은 일정(출발일) 변경 규정이며 인원 변경에는 적용되지 않음 — 인접 규정 혼동(항목1). 결론인 제5항 적용은 맞음. 1인 객실 추가요금 미언급(항목2)
gemma4:e4b-it-q8_0,Q8_0,Q8,boundary,2,2,1,2,2,,7,8,87.5,1.391,77,58.29,5011,100% GPU,"인원 변경으로 분류하고 취소 수수료 산정 기준 제시, 단정하지 않음. 1인 객실 추가요금 미언급(항목2)"
gemma4:e4b-it-q8_0,Q8_0,Q9,insufficient_info,1,2,2,2,1,2,9,10,90.0,0.739,39,58.33,5011,100% GPU,확인 불가 명시 + 담당자 안내. '확인해 주시기를 안내해 드립니다'가 비문(항목4)
gemma4:e4b-it-q8_0,Q8_0,Q9,insufficient_info,2,2,2,2,2,2,10,10,100.0,0.683,36,58.67,5011,100% GPU,"확인 불가 명시 + 담당자 안내, 지어내지 않음"
gemma4:e4b-it-q8_0,Q8_0,Q10,out_of_scope,1,2,2,2,2,2,10,10,100.0,0.77,41,58.75,5011,100% GPU,"범위 밖 명시 + 담당자 안내, 추측 없음"
gemma4:e4b-it-q8_0,Q8_0,Q10,out_of_scope,2,2,2,2,2,2,10,10,100.0,0.741,39,58.24,5011,100% GPU,동일
