model,qid,qtype,run,item1_정확성,item2_핵심정보누락,item3_지시형식준수,item4_한국어표현,item5_정보부족대응,획득점,만점,환산100,score_evidence,answer
gemma4:e4b,Q9,insufficient_info,1,2,2,2,2,2,10,10,100.0,"확인 불가 명시 + 담당자 안내, 지어내지 않음","제공된 자료로는 확인이 어렵습니다. 여행자보험 상해 보장 한도에 대한 정보는 정책 문서에 포함되어 있지 않으니, 담당자 확인을 부탁드립니다."
gemma4:e4b,Q9,insufficient_info,2,2,2,2,2,2,10,10,100.0,동일,제공된 자료로는 확인이 어렵습니다. 여행자보험 상해 보장 한도에 대해서는 담당자 확인을 부탁드립니다.
gemma4:e4b,Q10,out_of_scope,1,2,2,2,2,2,10,10,100.0,"범위 밖 명시 + 담당자 안내, 추측 없음","제공된 자료로는 확인이 어렵습니다. 베트남 다낭 상품에 대한 정보는 포함되어 있지 않으며, 담당자 확인을 통해 안내받으시는 것이 좋겠습니다."
gemma4:e4b,Q10,out_of_scope,2,2,2,2,2,2,10,10,100.0,동일,제공된 자료로는 확인이 어렵습니다. 베트남 다낭 상품에 대한 정보는 포함되어 있지 않아 담당자 확인을 안내해 드립니다.
qwen3.5:9b,Q1,normal,1,2,1,1,2,,6,8,75.0,"구간·10% 정확. 89,000원 미제시(항목2). '제공된 자료에 따르면'만 있고 규정 항목명 없음(항목3)","제공된 자료에 따르면 출발 29일 전부터 20일 전까지는 요금의 10%가 취소 수수료로 부과됩니다. 따라서 출발 25일 전에 취소하시는 경우에도 **요금 기준 10%**의 수수료가 적용됩니다. 구체적인 금액은 해당 상품의 총 요금을 기준으로 계산되며, 인원별로 각각 적용됩니다."
qwen3.5:9b,Q1,normal,2,2,1,2,2,,7,8,87.5,"'출발 29일 전 ~ 20일 전' 항목명 인용. 89,000원 미제시",제공된 자료에 따르면 출발 29일 전부터 20일 전까지는 요금의 10%가 취소 수수료로 부과됩니다. 따라서 출발 25일 전에 취소하시는 경우에도 '출발 29일 전 ~ 20일 전' 항목에 따라 요금의 10%를 지불하셔야 합니다.
qwen3.5:9b,Q2,normal,1,2,2,2,1,,7,8,87.5,"534,000원 정확. '([요금 기준](#2.-요금-기준))' 마크다운 링크 노출로 그대로 발송 불가(항목4)","출발 6일 전인 시점은 '출발 9일 전 ~ 4일 전' 구간으로, 요금의 30%가 취소 수수료로 부과됩니다. 성인 1 인 기준 요금이 890,000원 ([요금 기준](#2.-요금-기준)) 이므로 2 명 모두에 해당 수수료가 적용됩니다. 따라서 총 534,000 원 ([요금 기준](#2.-요금-기준)) 을 취소 수수료로 내셔야 합니다."
qwen3.5:9b,Q2,normal,2,2,1,2,1,,6,8,75.0,"534,000원 정확. 구간명 미언급, 끝에 '달라질 수 있습니다'로 흐림(항목2). 링크 노출(항목4)","제공된 자료에 따르면 출발 6일 전 취소 시 요금의 30%가 수수료로 부과됩니다. 성인 1인 요금이 890,000원 ([요금 기준](#2.-요금-기준) 항목 참조) 이므로 2명 모두 해당 날짜에 취소하는 경우 총 534,000원을 내셔야 합니다. 다만, 인원별로 각각 적용되므로 두 분의 상황에 따라 수수료가 달라질 수 있습니다."
qwen3.5:9b,Q3,normal,1,2,2,2,2,,8,8,100.0,"소아 구간 분류·712,000원·계산식까지 정확","제공된 자료에 따르면 만 2 세 이상 ~ 만 12 세 미만인 소아 요금은 성인 요금의 80%입니다. 성인 요금이 890,000 원이므로 소아 요금은 712,000 원 (890,000 원 × 80%) 입니다. 만 3 세 아이는 소아 기준에 해당하므로 이 금액을 적용받습니다."
qwen3.5:9b,Q3,normal,2,2,2,2,2,,8,8,100.0,"소아 80%·712,000원 정확","제공된 자료에 따르면 만 2 세 이상 ~ 만 12 세 미만인 소아 요금은 성인 요금의 80%입니다. 성인 요금이 890,000 원이므로 소아 요금은 712,000 원입니다."
qwen3.5:9b,Q4,normal,1,2,1,2,2,,7,8,87.5,진술 자체는 문서와 일치(조치·예외는 실제로 문서에 없음)→항목1 2점. '충족하지 못한다' 판단과 갱신 안내 누락은 항목2에서만 감점,"제공된 자료로는 여권 유효기간이 충분하지 않은 경우의 처리 여부를 확인하기 어렵습니다. 여권 잔여 유효기간이 출국일 기준 6 개월 이상 남아 있어야 한다는 규정이 있으나, 이를 충족하지 못할 때의 구체적인 조치나 예외 사항은 문서에 명시되어 있지 않습니다. 따라서 해당 문의는 담당 상담원을 통해 직접 확인해 주시는 것이 좋습니다."
qwen3.5:9b,Q4,normal,2,2,1,2,0,,5,8,62.5,동일. '이라는项规定가 있으나' — 중국어 혼입으로 항목4 0점,"제공된 자료로는 여권 유효기간이 충분하지 않은 경우의 처리 여부를 확인하기 어렵습니다. 여권 잔여 유효기간은 출국일 기준 6 개월 이상 남아 있어야 한다는项规定가 있으나, 이 조건을 충족하지 못할 때의 구체적인 조치나 예외 사항은 문서에 명시되어 있지 않습니다. 따라서 해당 여권으로 출발 가능한지 담당 상담원에게 직접 문의해 주시는 것을 권장합니다."
qwen3.5:9b,Q5,normal,1,2,1,2,2,,7,8,87.5,"220,000원 정확. 2인 1실 기준 미언급(항목2)","네, 혼자 가실 경우 객실을 단독 사용하게 되므로 '1인 객실 사용 시' 항목에 따라 220,000원이 추가됩니다. 기본 요금은 성인 기준이며, 이 금액은 상품 개요와 요금 기준에서 확인된 내용입니다. 구체적인 결제 내역은 담당 상담원과 확인해 주시면 됩니다."
qwen3.5:9b,Q5,normal,2,2,2,2,2,,8,8,100.0,"2인 1실 기준과 220,000원 모두 제시","네, 혼자 가실 경우 1인 객실 사용 시 '1 인 객실 추가 요금' 항목에 따라 220,000원이 추가로 발생합니다. 본 상품은 기본 객실 기준이 2인 1실이므로 단독 사용 시 이 수수료가 적용됩니다. 구체적인 금액이나 조건은 [요금 기준] 섹션의 내용을 참고해 주시면 됩니다."
qwen3.5:9b,Q6,normal,1,2,1,2,2,,7,8,87.5,인용한 내용은 문서와 일치→항목1 2점. 석식 불포함 결론 미제시는 항목2에서만 감점,"제공된 자료로는 저녁 식사가 포함되는지 확인이 어렵습니다. 문서의 '3. 포함 사항'에는 조식 3회가 명시되어 있으나, '4. 불포함 사항'에는 중식 및 석식이 포함되지 않는다고만 적혀 있어 구체적인 식별 기준이 명확하지 않습니다. 따라서 정확한 내용은 담당 상담원에게 문의해 주십시오."
qwen3.5:9b,Q6,normal,2,2,1,2,1,,6,8,75.0,결론 미제시는 항목2에서만 감점. '정확한 내용을 담당자 확인을 부탁드립니다' 비문(항목4),"제공된 자료로는 저녁 식사가 포함되는지 확인이 어렵습니다. 문서의 '불포함 사항' 항목에는 중식 및 석식이 불포함으로 명시되어 있으나, 이는 선택관광 비용이나 개인 경비 등 다른 항목과 구별되지 않아 정확한 내용을 담당자 확인을 부탁드립니다."
qwen3.5:9b,Q7,boundary,1,2,2,1,2,,7,8,87.5,면제·증빙·개인사정 구분 모두 정확. 근거 항목명 미제시(항목3),"항공사 결항이나 천재지변으로 여행이 불가능해진 경우, 증빙 자료를 제출하시면 취소 수수료를 면제해 드립니다. 태풍으로 인한 결항은 해당 조항의 적용 대상이며, 개인 사정이 아닌 항공사 사유에 해당합니다. 다만, 구체적인 면제 절차와 필요한 증빙 자료는 담당 상담원을 통해 확인해 주십시오."
qwen3.5:9b,Q7,boundary,2,2,1,1,2,,6,8,75.0,면제·증빙 정확. 개인 사정 구분 누락(항목2). 항목명 미제시,"제공된 자료에 따르면, 천재지변으로 인해 여행이 불가능해진 경우 취소 수수료를 면제받을 수 있습니다. 단, 항공사 결항 확인서 등 증빙 자료를 제출해야 합니다. 문의 사항은 담당 상담원을 통해 접수해 주십시오."
qwen3.5:9b,Q8,boundary,1,2,1,2,2,,7,8,87.5,단정하지 않음. 취소 수수료 부과 안내가 '규정은 있으나'로 약함(항목2),"제공된 자료로는 인원별 개별 적용 여부 등 세부 처리 방법은 확인이 어렵습니다. 1 인 객실 추가 요금 (220,000 원) 과 취소 수수료 규정은 있으나, 실제 예약 변경 시 1 명이 빠진 경우의 구체적인 절차는 담당자 확인이 필요합니다. 예약 변경 및 취소 문의는 담당 상담원을 통해 접수해 주십시오."
qwen3.5:9b,Q8,boundary,2,2,2,2,2,,8,8,100.0,객실 추가요금·취소 수수료·문서 6항 무료 변경까지 제시,"제공된 자료로는 인원별 개별 적용 여부 등 세부 처리 방법을 확인하기 어렵습니다. 1 인 객실 추가 요금 (220,000 원) 이 발생할 수 있으나, 정확한 취소 수수료율은 담당 상담원에게 문의해 주셔야 합니다. 문서 6 항에 따라 출발 20 일 전까지 무료 변경이 가능하지만, 그 이후는 취소 후 재예약으로 처리됩니다."
qwen3.5:9b,Q9,insufficient_info,1,2,2,2,2,2,10,10,100.0,보장 한도를 지어내지 않고 확인 불가 명시 + 담당자 안내,제공된 자료로는 여행자보험 상해 보장 한도를 확인하는 내용은 없습니다. 해당 사항은 담당자에게 직접 문의해 주시면 정확한 정보를 안내해 드리겠습니다.
qwen3.5:9b,Q9,insufficient_info,2,2,2,2,2,2,10,10,100.0,동일,제공된 자료로는 여행자보험 상해 보장 한도를 확인하는 내용은 없습니다. 해당 사항은 담당자에게 직접 문의해 주시면 정확한 정보를 안내해 드리겠습니다.
qwen3.5:9b,Q10,out_of_scope,1,2,2,2,1,2,9,10,90.0,범위 밖 명시. '해당 내용은 오사카 ... 약관에 명시되어 있습니다' 가 베트남 내용이 있다는 오독을 유발(항목4),제공된 자료로는 베트남 다낭 상품에 대한 정보가 없으므로 확인이 어렵습니다. 해당 내용은 오사카 3박 4일 패키지 상품 안내 및 약관에 명시되어 있습니다. 문의하신 사항은 담당 상담원에게 직접 확인해 주시면 정확히 답변해 드리겠습니다.
qwen3.5:9b,Q10,out_of_scope,2,2,2,2,1,2,9,10,90.0,'약관에만 포함되어 있습니다' 로 다소 개선됐으나 같은 혼동 여지,제공된 자료로는 베트남 다낭 상품에 대한 정보가 없으므로 확인이 어렵습니다. 해당 내용은 오사카 3박 4일 패키지 상품 안내 및 약관에만 포함되어 있습니다. 정확한 정보는 담당 상담원에게 문의해 주십시오.
